date,max_temperature,min_temperature
2015-08-04,34,27
2005-10-02,34,27
2014-07-24,33,27
2013-11-26,23,18
2005-07-07,30,26
2015-01-01,21,13
1999-01-08,19,12
2002-03-13,25,22
1999-01-13,13,9
2002-12-25,19,15
2015-02-11,19,14
2015-08-27,32,27
1998-04-03,23,19
2007-07-05,31,28
2013-07-14,33,27
2011-07-22,32,28
2015-01-11,19,15
1999-09-24,31,23
2003-04-14,27,21
2004-12-08,21,15
2004-07-17,31,25
2017-01-12,21,16
1998-03-06,20,17
2004-12-21,23,19
2001-11-29,26,22
1997-04-12,26,21
2003-06-27,31,29
2013-09-30,28,24
1999-08-29,30,27
2007-09-15,34,27
2001-06-16,31,26
2016-06-30,33,28
2013-08-16,30,27
2017-07-13,35,28
2004-11-07,28,23
2017-04-24,24,21
2004-02-12,23,15
2016-07-25,35,28
2011-12-10,17,11
2010-11-05,19,17
2006-02-05,19,15
2015-06-27,34,30
2006-02-01,23,19
2011-05-08,31,27
2016-11-11,22,16
2004-04-01,23,20
2007-05-19,29,24
1999-11-14,26,22
2006-12-30,20,14
2016-04-28,30,25
2009-10-23,30,23
2005-09-03,31,26
2012-08-11,30,27
2000-09-03,33,27
2008-12-28,21,19
2014-01-02,20,14
2002-10-01,26,24
2016-05-25,33,27
2002-12-20,21,18
2009-12-28,14,10
2011-05-27,30,24
1998-05-25,26,21
2007-12-03,23,18
2017-09-15,33,28
2013-11-08,28,24
1999-03-12,16,13
2001-11-20,23,16
2006-05-18,28,23
2001-10-02,31,27
2009-08-24,33,29
2016-09-20,30,23
2009-06-11,29,25
2006-03-13,14,9
2013-05-09,30,24
2013-07-04,32,28
2016-05-27,31,27
2005-08-12,34,27
2009-08-16,33,28
2012-01-09,17,13
2011-03-26,20,17
2009-11-21,18,12
2013-12-26,19,12
2009-10-20,27,24
2006-04-11,31,27
2016-03-29,22,16
1998-08-10,30,27
2007-05-29,33,27
2015-12-26,19,16
2000-09-23,32,27
2017-03-05,24,20
2014-01-12,20,15
2011-07-08,35,29
2003-12-25,23,15
1997-05-13,31,27
2016-08-12,31,27
2005-10-19,30,24
2010-12-21,24,20
2016-01-01,21,18
2003-10-20,28,23
2004-07-13,31,26
2001-11-02,30,25
2012-06-05,33,27
2017-03-16,20,18
1997-03-07,26,18
2003-08-07,31,28
2005-09-02,32,29
2012-06-08,34,29
2012-03-13,16,13
1998-11-08,26,21
2003-06-07,29,25
1999-10-23,29,25
2003-11-11,21,16
2017-05-30,30,26
2016-09-24,33,28
2010-09-20,32,25
1997-03-03,19,14
2015-08-21,34,27
2011-08-30,36,30
2011-07-14,31,26
2000-07-23,32,26
2010-04-10,22,20
2005-04-20,29,23
2016-03-17,21,17
2002-02-20,21,16
2000-05-22,31,25
2004-05-08,27,23
1999-11-09,25,22
2012-10-27,29,25
2006-05-26,31,27
2014-03-19,27,20
2014-06-18,34,27
2000-04-27,25,25
2004-07-01,37,30
2002-12-18,24,21
2013-11-05,25,21
2009-09-03,35,29
2015-02-25,26,20
2013-06-17,32,28
2004-02-29,26,21
2008-05-11,24,20
1999-05-03,30,23
2015-04-18,30,24
2005-03-02,14,12
2006-11-23,24,21
2011-03-24,19,14
2003-11-16,27,24
2002-06-07,32,27
2017-05-12,31,27
2009-02-02,24,17
2000-02-17,19,16
2014-09-20,32,28
2001-04-23,23,20
2005-12-30,19,16
2010-02-08,22,18
2017-09-26,34,29
2006-06-27,34,28
2003-09-07,31,26
2003-06-22,31,27
2017-08-12,33,29
1997-02-07,19,13
2015-11-18,30,24
2002-03-31,23,22
2000-12-09,25,19
2000-06-21,32,28
2014-12-29,19,11
1997-08-19,35,29
2004-03-20,24,19
1997-04-06,23,21
1998-02-13,25,20
1998-11-15,29,24
1999-04-09,27,23
2016-05-22,31,26
2007-02-07,26,19
2010-11-06,21,17
2005-03-06,19,12
1997-06-19,29,25
2012-02-24,24,18
2017-04-22,24,18
2003-03-22,21,17
2005-10-21,31,25
2003-06-15,29,25
2011-02-06,22,16
2015-05-13,29,26
2008-03-20,23,20
2011-04-07,26,20
2008-08-17,33,29
2007-11-10,26,20
1997-09-09,31,25
1999-02-03,20,14
2004-07-16,29,24
2008-12-13,25,20
2015-08-13,31,28
1999-12-15,21,17
2001-05-20,32,27
2010-06-12,32,26
2016-06-25,35,29
1999-04-16,29,24
2011-09-03,32,26
2009-10-07,31,27
2015-10-09,29,26
2002-01-22,16,11
2003-10-09,32,27
1998-04-14,27,23
2005-03-10,23,20
2014-07-12,33,27
2017-07-24,32,26
2008-01-27,10,9
2008-09-19,32,27
2012-06-07,33,28
2004-03-28,20,16
2009-03-01,21,19
2017-06-11,33,29
2016-05-10,29,24
2015-05-07,32,28
2006-09-03,32,28
2002-09-26,30,26
2002-09-28,31,27
2013-07-05,34,28
2010-01-12,15,10
2011-02-25,24,18
2001-12-10,20,18
2015-10-18,29,23
2009-11-25,25,18
2005-03-14,14,10
2016-03-20,24,19
2016-08-03,29,26
2000-05-11,29,24
1997-11-16,29,20
2003-10-25,30,21
2010-05-30,29,26
2012-10-24,30,24
2008-07-22,33,28
2004-12-04,23,19
2009-03-10,20,18
2011-06-10,35,28
2006-09-02,34,29
2017-08-02,33,27
2003-12-29,21,14
1999-10-22,29,25
2007-08-15,30,26
1999-02-13,21,16
2007-07-13,35,29
2014-03-21,19,16
2017-04-14,25,20
2012-06-16,30,26
2003-05-31,33,26
2005-06-25,32,28
2008-04-21,29,26
2013-08-13,31,27
2007-12-18,26,20
2006-06-30,33,27
2017-04-28,25,20
2007-01-11,19,17
1997-03-21,21,18
2005-07-12,33,28
2017-09-10,33,28
1999-03-23,19,14
2011-04-22,28,23
2016-07-28,35,28
2000-10-18,27,24
2000-08-02,29,25
2014-07-14,33,29
1997-09-21,25,20
2009-05-26,30,24
2015-10-23,30,25
2011-12-31,20,16
2007-02-04,22,14
2001-05-29,31,27
1998-05-19,28,26
2005-10-20,30,24
2005-11-16,24,19
2017-07-01,33,28
2000-04-24,25,24
2002-01-26,14,12
2001-05-17,28,26
2008-01-05,21,13
2001-04-29,32,26
2005-05-10,29,24
2017-08-20,35,28
2008-09-01,33,28
1997-06-27,32,26
1998-05-12,32,27
2004-12-30,15,8
1997-11-15,31,23
2004-04-05,23,19
2012-08-04,32,30
2001-06-11,28,24
1999-12-21,14,7
2005-06-18,31,28
1999-01-14,13,10
2006-09-13,27,22
1998-01-17,19,13
2011-12-14,21,18
2001-05-19,29,26
2004-05-12,32,27
2004-05-30,30,26
2008-05-06,27,22
2011-11-18,27,23
1999-01-19,22,15
2015-04-28,30,23
2006-02-18,17,12
2008-05-21,27,22
1997-11-29,27,22
2005-09-08,32,28
2005-05-08,28,23
2003-04-08,26,20
2011-12-07,25,21
1999-09-10,32,27
2001-11-28,24,20
2016-05-21,30,25
2001-01-18,25,16
2009-11-26,26,21
1997-12-16,25,17
2015-11-14,27,22
2011-10-11,27,25
2009-11-04,25,17
2012-01-03,20,16
2016-08-16,29,26
2004-01-25,14,8
2005-11-09,30,25
2014-01-18,20,14
2005-05-19,30,26
2004-01-08,23,18
2003-05-04,28,23
1997-02-11,18,14
2006-09-22,32,26
2008-11-18,25,20
2008-04-20,29,26
1999-01-04,21,14
2015-12-12,24,20
2016-11-29,20,18
1997-08-06,33,28
1997-07-05,30,28
2006-09-20,30,25
2001-07-18,31,25
2008-12-08,22,17
2004-11-20,23,17
2011-06-04,32,27
2001-12-07,21,16
2010-10-29,23,17
1997-03-29,24,19
1998-06-23,31,26
2013-01-06,14,12
2011-01-25,16,12
2010-11-11,26,18
1999-06-01,32,27
2000-10-26,30,27
1998-12-13,20,16
2000-07-31,34,29
1998-01-29,15,13
2004-03-26,18,15
2006-04-03,29,23
1999-11-01,28,21
2016-11-23,23,16
2013-12-30,17,10
2017-09-06,33,28
2009-02-28,23,20
1999-11-28,24,14
2002-10-03,30,26
2009-03-17,26,18
2007-10-18,28,24
2015-09-19,31,26
2009-05-28,27,24
2013-07-07,32,26
1998-06-29,33,27
1997-08-22,29,26
2010-01-17,20,14
2013-10-29,28,23
2004-07-20,31,26
2014-03-04,20,16
2007-05-21,27,23
2013-05-10,29,25
2014-09-24,32,27
2009-12-17,14,11
2015-11-09,30,25
2008-08-23,29,24
2004-11-17,22,18
